match_date,home_team,away_team,predicted_home_win_prob,predicted_draw_prob,predicted_away_win_prob,predicted_outcome,predicted_home_goals,predicted_away_goals,actual_outcome,actual_home_goals,actual_away_goals,odds_matched,odds_source,bookmaker_odds_used,payout,profit,cumulative_profit,home_win_implied_prob,draw_implied_prob,away_win_implied_prob,home_win_edge,draw_edge,away_win_edge,best_edge,bet_recommendation
2018-06-14,Russia,Saudi Arabia,0.4020851041114218,0.19828767478680406,0.3996272062006132,2,1,1,2,5.0,0.0,False,stub_2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,-0.09791489588857821,-0.3017123252131959,-0.1003727937993868,-0.09791489588857821,Avoid
2018-06-15,Egypt,Uruguay,0.1687046984291857,0.2832949280614932,0.5480003735093208,0,0,1,0,0.0,1.0,False,stub_2.0,2.0,2.0,1.0,2.0,0.5,0.5,0.5,-0.3312953015708143,-0.2167050719385068,0.04800037350932085,0.04800037350932085,Neutral
2018-06-15,Morocco,Iran,0.40586926680760216,0.3203226851958999,0.27380804799649755,2,1,1,0,0.0,1.0,False,stub_2.0,2.0,0.0,-1.0,1.0,0.5,0.5,0.5,-0.09413073319239784,-0.1796773148041001,-0.22619195200350245,-0.09413073319239784,Avoid
2018-06-15,Portugal,Spain,0.4084991969590166,0.2891827709690659,0.3023180519401323,2,1,1,1,3.0,3.0,False,stub_2.0,2.0,0.0,-1.0,0.0,0.5,0.5,0.5,-0.0915008030409834,-0.21081722903093408,-0.19768194805986772,-0.0915008030409834,Avoid
2018-06-16,France,Australia,0.6498384218448862,0.22487583318284712,0.12528573503815918,2,1,0,2,2.0,1.0,False,stub_2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.14983842184488616,-0.2751241668171529,-0.3747142649618408,0.14983842184488616,Value
2018-06-16,Argentina,Iceland,0.5769088896387514,0.2047339355813997,0.21835717477984856,2,1,1,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,0.0,0.5,0.5,0.5,0.07690888963875142,-0.29526606441860026,-0.28164282522015144,0.07690888963875142,Value
2018-06-16,Peru,Denmark,0.4572989048371321,0.31693971328903103,0.22576138684089042,2,1,1,0,0.0,1.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,-0.04270109516286791,-0.18306028671096897,-0.2742386131591096,-0.04270109516286791,Neutral
2018-06-16,Croatia,Nigeria,0.5747816120066174,0.2411943770606727,0.1840240158997637,2,1,0,2,2.0,0.0,False,stub_2.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.07478161200661737,-0.2588056229393273,-0.3159759841002363,0.07478161200661737,Value
2018-06-17,Costa Rica,Serbia,0.4312071598363304,0.2603342555152802,0.3084585747142817,2,1,1,0,0.0,1.0,False,stub_2.0,2.0,0.0,-1.0,-1.0,0.5,0.5,0.5,-0.0687928401636696,-0.23966574448471978,-0.19154142528571833,-0.0687928401636696,Avoid
2018-06-17,Germany,Mexico,0.5619300064223524,0.25602935529895465,0.1820406333116394,2,1,1,0,0.0,1.0,False,stub_2.0,2.0,0.0,-1.0,-2.0,0.5,0.5,0.5,0.06193000642235236,-0.24397064470104535,-0.3179593666883606,0.06193000642235236,Value
2018-06-17,Brazil,Switzerland,0.4721570988099126,0.2911995515054704,0.23664333478345567,2,1,1,1,1.0,1.0,False,stub_2.0,2.0,0.0,-1.0,-3.0,0.5,0.5,0.5,-0.02784290119008742,-0.2088004484945296,-0.26335666521654433,-0.02784290119008742,Neutral
2018-06-18,Sweden,South Korea,0.5738737978752539,0.2537918607909093,0.17233433139972948,2,1,0,2,1.0,0.0,False,stub_2.0,2.0,2.0,1.0,-2.0,0.5,0.5,0.5,0.07387379787525394,-0.24620813920909068,-0.3276656686002705,0.07387379787525394,Value
2018-06-18,Belgium,Panama,0.7653164276928169,0.16743607631765145,0.06724748605542388,2,2,0,2,3.0,0.0,False,stub_2.0,2.0,2.0,1.0,-1.0,0.5,0.5,0.5,0.26531642769281694,-0.33256392368234855,-0.43275251394457614,0.26531642769281694,Value
