fixture_name,results_name,rankings_name
Algeria,Algeria,Algeria
Argentina,Argentina,Argentina
Australia,Australia,Australia
Austria,Austria,Austria
Belgium,Belgium,Belgium
Bosnia-Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil,Brazil
Canada,Canada,Canada
Cape Verde Islands,Cape Verde,Cabo Verde
Colombia,Colombia,Colombia
Congo DR,DR Congo,Congo DR
Croatia,Croatia,Croatia
Curaçao,Curaçao,Curaçao
Czechia,Czech Republic,Czechia
Ecuador,Ecuador,Ecuador
Egypt,Egypt,Egypt
England,England,England
France,France,France
Germany,Germany,Germany
Ghana,Ghana,Ghana
Haiti,Haiti,Haiti
Iran,Iran,IR Iran
Iraq,Iraq,Iraq
Ivory Coast,Ivory Coast,Côte d'Ivoire
Japan,Japan,Japan
Jordan,Jordan,Jordan
Mexico,Mexico,Mexico
Morocco,Morocco,Morocco
Netherlands,Netherlands,Netherlands
New Zealand,New Zealand,New Zealand
Norway,Norway,Norway
Panama,Panama,Panama
Paraguay,Paraguay,Paraguay
Portugal,Portugal,Portugal
Qatar,Qatar,Qatar
Saudi Arabia,Saudi Arabia,Saudi Arabia
Scotland,Scotland,Scotland
Senegal,Senegal,Senegal
South Africa,South Africa,South Africa
South Korea,South Korea,Korea Republic
Spain,Spain,Spain
Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland
Tunisia,Tunisia,Tunisia
Turkey,Turkey,Türkiye
United States,United States,USA
Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan
