fixture_id,match_date,kickoff_utc,home_team,away_team,stage,status
537327,2026-06-11,2026-06-11T19:00:00Z,Mexico,South Africa,GROUP_STAGE,TIMED
537328,2026-06-12,2026-06-12T02:00:00Z,South Korea,Czechia,GROUP_STAGE,TIMED
537333,2026-06-12,2026-06-12T19:00:00Z,Canada,Bosnia-Herzegovina,GROUP_STAGE,TIMED
537345,2026-06-13,2026-06-13T01:00:00Z,United States,Paraguay,GROUP_STAGE,TIMED
537334,2026-06-13,2026-06-13T19:00:00Z,Qatar,Switzerland,GROUP_STAGE,TIMED
537339,2026-06-13,2026-06-13T22:00:00Z,Brazil,Morocco,GROUP_STAGE,TIMED
537340,2026-06-14,2026-06-14T01:00:00Z,Haiti,Scotland,GROUP_STAGE,TIMED
537346,2026-06-14,2026-06-14T04:00:00Z,Australia,Turkey,GROUP_STAGE,TIMED
537351,2026-06-14,2026-06-14T17:00:00Z,Germany,Curaçao,GROUP_STAGE,TIMED
537357,2026-06-14,2026-06-14T20:00:00Z,Netherlands,Japan,GROUP_STAGE,TIMED
537352,2026-06-14,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,GROUP_STAGE,TIMED
537358,2026-06-15,2026-06-15T02:00:00Z,Sweden,Tunisia,GROUP_STAGE,TIMED
537369,2026-06-15,2026-06-15T16:00:00Z,Spain,Cape Verde Islands,GROUP_STAGE,TIMED
537363,2026-06-15,2026-06-15T19:00:00Z,Belgium,Egypt,GROUP_STAGE,TIMED
537370,2026-06-15,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,GROUP_STAGE,TIMED
537364,2026-06-16,2026-06-16T01:00:00Z,Iran,New Zealand,GROUP_STAGE,TIMED
537391,2026-06-16,2026-06-16T19:00:00Z,France,Senegal,GROUP_STAGE,TIMED
537392,2026-06-16,2026-06-16T22:00:00Z,Iraq,Norway,GROUP_STAGE,TIMED
537397,2026-06-17,2026-06-17T01:00:00Z,Argentina,Algeria,GROUP_STAGE,TIMED
537398,2026-06-17,2026-06-17T04:00:00Z,Austria,Jordan,GROUP_STAGE,TIMED
537403,2026-06-17,2026-06-17T17:00:00Z,Portugal,Congo DR,GROUP_STAGE,TIMED
537409,2026-06-17,2026-06-17T20:00:00Z,England,Croatia,GROUP_STAGE,TIMED
537410,2026-06-17,2026-06-17T23:00:00Z,Ghana,Panama,GROUP_STAGE,TIMED
537404,2026-06-18,2026-06-18T02:00:00Z,Uzbekistan,Colombia,GROUP_STAGE,TIMED
537329,2026-06-18,2026-06-18T16:00:00Z,Czechia,South Africa,GROUP_STAGE,TIMED
537335,2026-06-18,2026-06-18T19:00:00Z,Switzerland,Bosnia-Herzegovina,GROUP_STAGE,TIMED
537336,2026-06-18,2026-06-18T22:00:00Z,Canada,Qatar,GROUP_STAGE,TIMED
537330,2026-06-19,2026-06-19T01:00:00Z,Mexico,South Korea,GROUP_STAGE,TIMED
537348,2026-06-19,2026-06-19T19:00:00Z,United States,Australia,GROUP_STAGE,TIMED
537342,2026-06-19,2026-06-19T22:00:00Z,Scotland,Morocco,GROUP_STAGE,TIMED
537341,2026-06-20,2026-06-20T00:30:00Z,Brazil,Haiti,GROUP_STAGE,TIMED
537347,2026-06-20,2026-06-20T03:00:00Z,Turkey,Paraguay,GROUP_STAGE,TIMED
537359,2026-06-20,2026-06-20T17:00:00Z,Netherlands,Sweden,GROUP_STAGE,TIMED
537353,2026-06-20,2026-06-20T20:00:00Z,Germany,Ivory Coast,GROUP_STAGE,TIMED
537354,2026-06-21,2026-06-21T00:00:00Z,Ecuador,Curaçao,GROUP_STAGE,TIMED
537360,2026-06-21,2026-06-21T04:00:00Z,Tunisia,Japan,GROUP_STAGE,TIMED
537371,2026-06-21,2026-06-21T16:00:00Z,Spain,Saudi Arabia,GROUP_STAGE,TIMED
537365,2026-06-21,2026-06-21T19:00:00Z,Belgium,Iran,GROUP_STAGE,TIMED
537372,2026-06-21,2026-06-21T22:00:00Z,Uruguay,Cape Verde Islands,GROUP_STAGE,TIMED
537366,2026-06-22,2026-06-22T01:00:00Z,New Zealand,Egypt,GROUP_STAGE,TIMED
537399,2026-06-22,2026-06-22T17:00:00Z,Argentina,Austria,GROUP_STAGE,TIMED
537393,2026-06-22,2026-06-22T21:00:00Z,France,Iraq,GROUP_STAGE,TIMED
537394,2026-06-23,2026-06-23T00:00:00Z,Norway,Senegal,GROUP_STAGE,TIMED
537400,2026-06-23,2026-06-23T03:00:00Z,Jordan,Algeria,GROUP_STAGE,TIMED
537405,2026-06-23,2026-06-23T17:00:00Z,Portugal,Uzbekistan,GROUP_STAGE,TIMED
537411,2026-06-23,2026-06-23T20:00:00Z,England,Ghana,GROUP_STAGE,TIMED
537412,2026-06-23,2026-06-23T23:00:00Z,Panama,Croatia,GROUP_STAGE,TIMED
537406,2026-06-24,2026-06-24T02:00:00Z,Colombia,Congo DR,GROUP_STAGE,TIMED
537337,2026-06-24,2026-06-24T19:00:00Z,Switzerland,Canada,GROUP_STAGE,TIMED
537338,2026-06-24,2026-06-24T19:00:00Z,Bosnia-Herzegovina,Qatar,GROUP_STAGE,TIMED
537344,2026-06-24,2026-06-24T22:00:00Z,Morocco,Haiti,GROUP_STAGE,TIMED
537343,2026-06-24,2026-06-24T22:00:00Z,Scotland,Brazil,GROUP_STAGE,TIMED
537331,2026-06-25,2026-06-25T01:00:00Z,Czechia,Mexico,GROUP_STAGE,TIMED
537332,2026-06-25,2026-06-25T01:00:00Z,South Africa,South Korea,GROUP_STAGE,TIMED
537355,2026-06-25,2026-06-25T20:00:00Z,Ecuador,Germany,GROUP_STAGE,TIMED
537356,2026-06-25,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,GROUP_STAGE,TIMED
537361,2026-06-25,2026-06-25T23:00:00Z,Tunisia,Netherlands,GROUP_STAGE,TIMED
537362,2026-06-25,2026-06-25T23:00:00Z,Japan,Sweden,GROUP_STAGE,TIMED
537349,2026-06-26,2026-06-26T02:00:00Z,Turkey,United States,GROUP_STAGE,TIMED
